route,locale,page_type,compliance_tier,audit_status,audit_score,primary_keyword,keyword_count,issues,implementation_action,title
/en/media,en,media_index,normal,strong,100,industrial UAV news,5,,人工判定是否需要关键词库映射,Industrial UAV News & Low Altitude Economy Updates | N-TET
/en/media/border-surveillance-uav-network-2026,en,media_detail,normal,partial,70,UAV and EO/IR Networks Improve Remote Patrol Visibility,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,UAV and EO/IR Networks Improve Remote Patrol Visibility | N-TET
/en/media/industrial-uav-redundancy-2026,en,media_detail,normal,partial,70,Dual-Redundant Flight Control: How Industrial UAVs Achieve Mission-Grade Reliability,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Dual-Redundant Flight Control: How Industrial UAVs Achieve Mission-Grade Reliability | N-TET
/en/media/low-altitude-economy-2026-outlook,en,media_detail,normal,partial,70,China's Low-Altitude Economy: 2026 Outlook on a Two-Trillion-RMB Trajectory,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,China's Low-Altitude Economy: 2026 Outlook on a Two-Trillion-RMB Trajectory | N-TET
/en/media/tethered-uav-persistent-surveillance-2026,en,media_detail,normal,partial,70,Tethered UAVs: Continuous Aerial Monitoring for Events and Remote Sites,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Tethered UAVs: Continuous Aerial Monitoring for Events and Remote Sites | N-TET
/en/products/bailey-bridge,en,product_detail,normal,strong,85,Bailey Steel Bridge Overview,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Bailey Steel Bridge Overview | N-TET
/en/products/containerized-medical-rescue-system,en,product_detail,normal,strong,85,Containerized Medical Rescue System,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Containerized Medical Rescue System | N-TET
/en/products/fbg-g15-fc06-explosion-containment-vessel,en,product_detail,normal,strong,85,Explosion Containment Vessel FBG-G1.5-FC06,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Explosion Containment Vessel FBG-G1.5-FC06 | N-TET
/en/products/fbt-fc09-explosion-protection-blanket,en,product_detail,normal,strong,85,Explosion Protection Blanket FBT-FC09,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Explosion Protection Blanket FBT-FC09 | N-TET
/en/products/fc-3000-ferromagnetic-detection-column,en,product_detail,normal,strong,85,Intelligent Ferromagnetic Detection System FC-3000,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Intelligent Ferromagnetic Detection System FC-3000 | N-TET
/en/products/fc-c-deluxe-walk-through-metal-detector,en,product_detail,normal,strong,85,Walk-Through Metal Detector FC-C Deluxe,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Walk-Through Metal Detector FC-C (Deluxe) | N-TET
/en/products/fc-c-lcd-walk-through-metal-detector,en,product_detail,normal,strong,85,Walk-Through Metal Detector FC-C LCD,6,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,"Walk-Through Metal Detector FC-C (LCD, 12-Zone) | N-TET"
/en/products/fc-dma-long-range-optical-turntable,en,product_detail,normal,strong,85,FC-DMA Multi-Spectral EO/IR PTZ Turret,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DMA Multi-Spectral EO/IR PTZ Turret | N-TET
/en/products/fc-dms10-smart-electronic-sentinel,en,product_detail,normal,strong,85,FC-DMS10 Series Smart Electronic Sentinel,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DMS10 Series Smart Electronic Sentinel | N-TET
/en/products/fc-dtvc-dual-band-thermal-ptz,en,product_detail,normal,strong,85,FC-DTVC Series Dual-Band Thermal High-Speed Dome,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DTVC Series Dual-Band Thermal High-Speed Dome | N-TET
/en/products/fc-h-smart-phone-detection-gate,en,product_detail,normal,strong,85,Smart Phone Detection Gate FC-H,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Smart Phone Detection Gate FC-H | N-TET
/en/products/fc-h-smart-phone-detection-gate-29in,en,product_detail,normal,weak,45,Smart Phone Detection Gate FC-H 29-inch Display,5,H1 未命中关键词; H2 未命中关键词; 正文未命中精确关键词短语,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Smart Phone Detection Gate FC-H (29-inch Display) | N-TET
/en/products/fc-pd500-personal-radiation-dose-alarm,en,product_detail,normal,strong,85,FC-PD500 X-γ Personal Radiation Dose Alarm,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-PD500 X-γ Personal Radiation Dose Alarm | N-TET
/en/products/fc-rc-series-hd-laser-camera,en,product_detail,normal,strong,85,FC-RC Series HD Long-Range Laser Camera,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-RC Series HD Long-Range Laser Camera | N-TET
/en/products/fc-rds500-4r-radar-vision-sentinel,en,product_detail,normal,strong,85,FC-RDS500-4R Radar-Vision Fusion System,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-RDS500-4R Radar-Vision Fusion System | N-TET
/en/products/fc-smart-swing-turnstile,en,product_detail,normal,strong,85,Deluxe Smart Swing Turnstile,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Deluxe Smart Swing Turnstile | N-TET
/en/products/fc-ttvc-intelligent-multi-band-camera,en,product_detail,normal,strong,85,FC-TTVC Series Intelligent Multi-Band Camera,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-TTVC Series Intelligent Multi-Band Camera | N-TET
/en/products/fc1500-handheld-liquid-detector,en,product_detail,normal,strong,85,Handheld Liquid Detector FC1500,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Handheld Liquid Detector FC1500 | N-TET
/en/products/fc1500b-desktop-liquid-security-inspector,en,product_detail,normal,strong,85,Desktop Liquid Security Inspector FC1500B,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Desktop Liquid Security Inspector FC1500B | N-TET
/en/products/fc1800b-portable-explosives-and-narcotics-detector,en,product_detail,normal,strong,85,Portable Explosives & Narcotics Detector FC1800B,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Portable Explosives & Narcotics Detector FC1800B | N-TET
/en/products/fc1800t-desktop-explosives-narcotics-detector,en,product_detail,normal,strong,85,Desktop Explosives & Narcotics Detector FC1800T,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Desktop Explosives & Narcotics Detector FC1800T | N-TET
/en/products/fc2088-handheld-metal-detector,en,product_detail,normal,strong,85,Handheld Metal Detector FC2088,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Handheld Metal Detector FC2088 | N-TET
/en/products/fc4028-neutron-ambient-dose-rate-meter,en,product_detail,normal,weak,45,FC4028 Neutron Ambient Dose Equivalent Rate Meter,5,H1 未命中关键词; H2 未命中关键词; 正文未命中精确关键词短语,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC4028 Neutron Ambient Dose Equivalent (Rate) Meter | N-TET
/en/products/fc5030-compact-x-ray-baggage-scanner,en,product_detail,normal,strong,85,X-Ray Baggage Scanner FC5030,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,X-Ray Baggage Scanner FC5030 | N-TET
/en/products/fc6550-standard-x-ray-baggage-scanner,en,product_detail,normal,strong,85,X-Ray Baggage Scanner FC6550,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,X-Ray Baggage Scanner FC6550 | N-TET
/en/products/fc6550d-dual-view-baggage-scanner,en,product_detail,normal,strong,85,Dual-View X-Ray Baggage Scanner FC6550D,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Dual-View X-Ray Baggage Scanner FC6550D | N-TET
/en/products/fc902-personal-radiation-dose-alarm,en,product_detail,normal,strong,85,X-γ Radiation Dose Alarm FC902,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,X-γ Radiation Dose Alarm FC902 | N-TET
/en/products/intelligent-mobile-cabin-hospital,en,product_detail,normal,strong,85,Intelligent Mobile Cabin Hospital,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Intelligent Mobile Cabin Hospital | N-TET
/en/products/multi-rotor-20kg-payload-uav,en,product_detail,normal,strong,85,20kg Payload Multi-Rotor UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,20kg Payload Multi-Rotor UAV | N-TET
/en/products/multi-rotor-3kg-payload-uav,en,product_detail,normal,strong,85,3kg Payload Multi-Rotor UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,3kg Payload Multi-Rotor UAV | N-TET
/en/products/multi-rotor-50kg-payload-uav,en,product_detail,normal,strong,85,50kg Payload Multi-Rotor UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,50kg Payload Multi-Rotor UAV | N-TET
/en/products/multi-rotor-8kg-payload-uav,en,product_detail,normal,strong,85,8kg Payload Multi-Rotor UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,8kg Payload Multi-Rotor UAV | N-TET
/en/products/vtol-135kg-mtow-uav,en,product_detail,normal,strong,85,135kg MTOW VTOL Fixed-Wing UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,135kg MTOW VTOL Fixed-Wing UAV | N-TET
/en/products/vtol-14kg-mtow-uav,en,product_detail,normal,strong,85,14kg MTOW VTOL Fixed-Wing UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,14kg MTOW VTOL Fixed-Wing UAV | N-TET
/en/products/vtol-26kg-mtow-uav,en,product_detail,normal,strong,85,26kg MTOW VTOL Fixed-Wing UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,26kg MTOW VTOL Fixed-Wing UAV | N-TET
/en/products/vtol-40kg-mtow-uav,en,product_detail,normal,strong,85,40kg MTOW VTOL Fixed-Wing UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,40kg MTOW VTOL Fixed-Wing UAV | N-TET
/en/products/vtol-64kg-mtow-uav,en,product_detail,normal,strong,85,64kg MTOW VTOL Fixed-Wing UAV,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,64kg MTOW VTOL Fixed-Wing UAV | N-TET
/en/solutions/airport-low-altitude-monitoring,en,solution_detail,normal,partial,70,Airport Airspace Monitoring Application,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Airport Airspace Monitoring Application | N-TET
/en/solutions/airport-security-protection,en,solution_detail,neutral_seo,partial,70,Airport Security Protection,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Airport Security Protection | N-TET
/en/solutions/category/03_KeyAreaSecurity,en,solution_category,normal,partial,70,airport airspace monitoring,6,description 未命中关键词; H2 未命中关键词,人工判定是否需要关键词库映射,Key Area Security & Airspace Monitoring Solutions | N-TET
/en/solutions/emergency-communication-uav-solution,en,solution_detail,normal,partial,70,Emergency Communication UAV Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Emergency Communication UAV Solution | N-TET
/en/solutions/emergency-reconnaissance-uav,en,solution_detail,normal,partial,70,Emergency Reconnaissance UAV,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Emergency Reconnaissance UAV | N-TET
/en/solutions/emergency-search-rescue-uav-solution,en,solution_detail,normal,partial,70,Emergency Search & Rescue UAV Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Emergency Search & Rescue UAV Solution | N-TET
/en/solutions/high-rise-firefighting-uav-solution,en,solution_detail,normal,partial,70,High-Rise Firefighting UAV Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,High-Rise Firefighting UAV Solution | N-TET
/en/solutions/hydroelectric-dam-protection,en,solution_detail,neutral_seo,partial,70,Hydroelectric Dam Protection,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Hydroelectric Dam Protection | N-TET
/en/solutions/judicial-sector-security,en,solution_detail,neutral_seo,partial,70,Judicial Sector Security Protection,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Judicial Sector Security Protection | N-TET
/en/solutions/land-based-maritime-surveillance,en,solution_detail,normal,partial,70,Land-based Maritime Surveillance & Early Warning,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Land-based Maritime Surveillance & Early Warning | N-TET
/en/solutions/power-generation-facility-low-altitude-monitoring,en,solution_detail,normal,partial,70,Power Generation Facility Airspace Monitoring,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Power Generation Facility Airspace Monitoring | N-TET
/en/solutions/smart-substation-autonomous-inspection-solution,en,solution_detail,normal,partial,70,Smart Substation Autonomous UAV Inspection Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Smart Substation Autonomous UAV Inspection Solution | N-TET
/en/solutions/sports-event-security,en,solution_detail,neutral_seo,partial,70,Large Sports Event Security Protection,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Large Sports Event Security Protection | N-TET
/en/solutions/tethered-lighting-uav-solution,en,solution_detail,normal,partial,70,Tethered Lighting UAV Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Tethered Lighting UAV Solution | N-TET
/en/solutions/uav-maritime-emergency-rescue,en,solution_detail,normal,partial,70,UAV Maritime Emergency Rescue,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,UAV Maritime Emergency Rescue | N-TET
/en/solutions/water-conservancy-monitoring-uav-solution,en,solution_detail,normal,partial,70,Water Conservancy Monitoring UAV Solution,2,description 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Water Conservancy Monitoring UAV Solution | N-TET
/es,es,home,normal,strong,85,sistemas UAV industriales,5,H2 未命中关键词,标记为品牌/转化页面，选择少量核心词或品牌词承接,Sistemas UAV industriales y monitoreo de baja altitud | N-TET
/es/about,es,brand,normal,partial,65,fabricante UAV industrial,4,H1 未命中关键词; H2 未命中关键词,标记为品牌/转化页面，选择少量核心词或品牌词承接,Acerca de N-TET | Fabricante de sistemas UAV industriales
/es/cases,es,case_index,normal,weak,50,casos UAV,4,title 未命中关键词; H1 未命中关键词; H2 未命中关键词,人工判定是否需要关键词库映射,Casos de despliegue UAV | N-TET
/es/cases/anhui-flood-season-uav-patrol,es,case_detail,normal,strong,85,Anhui Flood-Season emergencia UAV patrullaje,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Anhui Flood-Season emergencia UAV patrullaje | N-TET
/es/cases/brazil-refinery-low-altitude-monitoring,es,case_detail,normal,strong,85,Espacio aéreo monitoreo Case of a Refinery in Brazil,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Espacio aéreo monitoreo Case of a Refinery in Brazil | N-TET
/es/cases/ice-snow-emergency-uav-inspection,es,case_detail,normal,strong,85,Ice and Snow Disaster emergencia UAV inspección,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Ice and Snow Disaster emergencia UAV inspección | N-TET
/es/cases/lidar-tree-obstruction-uav-inspection,es,case_detail,normal,strong,85,LiDAR Tree-Obstruction UAV inspección,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,LiDAR Tree-Obstruction UAV inspección | N-TET
/es/cases/nigeria-factory-low-altitude-monitoring,es,case_detail,normal,strong,85,Espacio aéreo monitoreo Case of a Group Factory in Nigeria,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Espacio aéreo monitoreo Case of a Group Factory in Nigeria | N-TET
/es/cases/pakistan-power-plant-low-altitude-monitoring,es,case_detail,normal,strong,85,Espacio aéreo monitoreo Case of a eléctrica Plant in Pakistan,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Espacio aéreo monitoreo Case of a eléctrica Plant in Pakistan | N-TET
/es/cases/southern-grid-wildfire-uav-inspection,es,case_detail,normal,strong,85,Southern red eléctrica Wildfire Prevention UAV inspección,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Southern red eléctrica Wildfire Prevention UAV inspección | N-TET
/es/cases/wildfire-emergency-transmission-line-uav-patrol,es,case_detail,normal,strong,85,Wildfire emergencia Transmission-línea UAV patrullaje,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Wildfire emergencia Transmission-línea UAV patrullaje | N-TET
/es/cases/zhaoqing-long-distance-power-line-uav-inspection,es,case_detail,normal,strong,85,Zhaoqing Long-Distance eléctrica-línea UAV inspección,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Zhaoqing Long-Distance eléctrica-línea UAV inspección | N-TET
/es/media,es,media_index,normal,weak,50,noticias UAV industriales,4,title 未命中关键词; H1 未命中关键词; H2 未命中关键词,人工判定是否需要关键词库映射,Noticias sobre UAV industriales y monitoreo de baja altitud | N-TET
/es/media/border-surveillance-uav-network-2026,es,media_detail,normal,strong,85,UAV and EO/IR Networks Improve remoto patrullaje Visibility,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,UAV and EO/IR Networks Improve remoto patrullaje Visibility | N-TET
/es/media/industrial-uav-redundancy-2026,es,media_detail,normal,strong,85,Dual-Redundant vuelo Control: How industrial UAV Achieve Mission-Grade Reliability,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Dual-Redundant vuelo Control: How industrial UAV Achieve Mission-Grade Reliability | N-TET
/es/media/low-altitude-economy-2026-outlook,es,media_detail,normal,strong,85,China's baja altitud Economy: 2026 Outlook on a Two-Trillion-RMB Trajectory,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,China's baja altitud Economy: 2026 Outlook on a Two-Trillion-RMB Trajectory | N-TET
/es/media/tethered-uav-persistent-surveillance-2026,es,media_detail,normal,strong,85,Cautivo UAV: Continuous Aerial monitoreo for Events and remoto Sites,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Cautivo UAV: Continuous Aerial monitoreo for Events and remoto Sites | N-TET
/es/products/bailey-bridge,es,product_detail,normal,strong,85,Bailey Steel Bridge Overview,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Bailey Steel Bridge Overview | N-TET
/es/products/containerized-medical-rescue-system,es,product_detail,normal,strong,85,Containerized Medical rescate sistema,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Containerized Medical rescate sistema | N-TET
/es/products/fbg-g15-fc06-explosion-containment-vessel,es,product_detail,normal,strong,85,Explosion Containment Vessel FBG-G1.5-FC06,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Explosion Containment Vessel FBG-G1.5-FC06 | N-TET
/es/products/fbt-fc09-explosion-protection-blanket,es,product_detail,normal,strong,85,Explosion Protection Blanket FBT-FC09,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Explosion Protection Blanket FBT-FC09 | N-TET
/es/products/fc-3000-ferromagnetic-detection-column,es,product_detail,normal,strong,85,Intelligent Ferromagnetic detección sistema FC-3000,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Intelligent Ferromagnetic detección sistema FC-3000 | N-TET
/es/products/fc-c-deluxe-walk-through-metal-detector,es,product_detail,normal,strong,85,Walk-Through Metal Detector FC-C Deluxe,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Walk-Through Metal Detector FC-C (Deluxe) | N-TET
/es/products/fc-c-lcd-walk-through-metal-detector,es,product_detail,normal,strong,85,Walk-Through Metal Detector FC-C LCD,6,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,"Walk-Through Metal Detector FC-C (LCD, 12-Zone) | N-TET"
/es/products/fc-dma-long-range-optical-turntable,es,product_detail,normal,strong,85,FC-DMA Multi-Spectral EO/IR PTZ Turret,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DMA Multi-Spectral EO/IR PTZ Turret | N-TET
/es/products/fc-dms10-smart-electronic-sentinel,es,product_detail,normal,strong,85,FC-DMS10 Series Smart Electronic Sentinel,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DMS10 Series Smart Electronic Sentinel | N-TET
/es/products/fc-dtvc-dual-band-thermal-ptz,es,product_detail,normal,strong,85,FC-DTVC Series Dual-Band Thermal High-Speed Dome,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-DTVC Series Dual-Band Thermal High-Speed Dome | N-TET
/es/products/fc-h-smart-phone-detection-gate,es,product_detail,normal,strong,85,Smart Phone detección Gate FC-H,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Smart Phone detección Gate FC-H | N-TET
/es/products/fc-h-smart-phone-detection-gate-29in,es,product_detail,normal,partial,65,Smart Phone detección Gate FC-H 29-inch Display,5,H1 未命中关键词; H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Smart Phone detección Gate FC-H (29-inch Display) | N-TET
/es/products/fc-pd500-personal-radiation-dose-alarm,es,product_detail,normal,strong,85,FC-PD500 X-γ Personal Radiation Dose Alarm,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-PD500 X-γ Personal Radiation Dose Alarm | N-TET
/es/products/fc-rc-series-hd-laser-camera,es,product_detail,normal,strong,85,FC-RC Series HD Long-Range Laser Camera,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-RC Series HD Long-Range Laser Camera | N-TET
/es/products/fc-rds500-4r-radar-vision-sentinel,es,product_detail,normal,strong,85,FC-RDS500-4R Radar-Vision Fusion sistema,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-RDS500-4R Radar-Vision Fusion sistema | N-TET
/es/products/fc-smart-swing-turnstile,es,product_detail,normal,strong,85,Deluxe Smart Swing Turnstile,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Deluxe Smart Swing Turnstile | N-TET
/es/products/fc-ttvc-intelligent-multi-band-camera,es,product_detail,normal,strong,85,FC-TTVC Series Intelligent Multi-Band Camera,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,FC-TTVC Series Intelligent Multi-Band Camera | N-TET
/es/products/fc1500-handheld-liquid-detector,es,product_detail,normal,strong,85,Handheld Liquid Detector FC1500,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Handheld Liquid Detector FC1500 | N-TET
/es/products/fc1500b-desktop-liquid-security-inspector,es,product_detail,normal,strong,85,Desktop Liquid seguridad Inspector FC1500B,5,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Desktop Liquid seguridad Inspector FC1500B | N-TET
